,area,building_floors,district,flat_floor,neighborhood,price,rooms_count,warming_type
1375,100,5,Gaziosmanpaşa,3,Kazım Karabekir,390000,3.0,Kombi
1376,100,15,Kağıthane,14,Merkez,600000,3.0,Merkezi (Pay Ölçer)
1377,120,6,Beylikdüzü,3,Cumhuriyet,307000,3.0,Kombi
1378,75,4,Zeytinburnu,3,Yenidoğan,500000,3.0,Kombi
1379,104,14,Kadıköy,8,Göztepe,1695000,3.0,Merkezi (Pay Ölçer)
1380,100,5,Gaziosmanpaşa,3,Kazım Karabekir,390000,3.0,Kombi
1381,90,3,Adalar,3,Burgazada,1000000,3.0,Rare
1382,130,6,Kadıköy,4,Kozyatağı,1200000,4.0,Merkezi (Pay Ölçer)
1383,150,8,Kadıköy,8,Bostancı,1390000,5.0,Kombi
1384,72,4,Beşiktaş,4,Arnavutköy,2500000,2.0,Kombi
1385,145,13,Kadıköy,10,Göztepe,2700000,4.0,Kombi
1386,100,4,Maltepe,0,Küçükyalı,700000,3.0,Kombi
1388,90,4,Kağıthane,1,Yahya Kemal,415000,3.0,Kombi
1389,235,7,Avcılar,6,Ambarlı,457000,6.0,Rare
1390,90,4,Maltepe,0,Aydınevler,459000,3.0,Kombi
1391,120,5,Maltepe,1,Zümrütevler,579000,4.0,Kombi
1392,250,5,Eyüpsultan,4,Rami Yeni,780000,7.0,Kombi
1393,100,15,Kağıthane,6,Merkez,550000,3.0,Merkezi (Pay Ölçer)
1394,85,5,Kağıthane,0,Sultan Selim,320000,3.0,Kombi
1395,330,4,Kartal,4,Hürriyet,2350000,7.0,Kombi
1396,115,28,Esenyurt,14,Zafer,650000,3.0,Kombi
1397,75,4,Beşiktaş,1,Sinanpaşa,480000,2.0,Kombi
1398,245,4,Beylikdüzü,4,Kavaklı,1000000,6.0,Kombi
1400,155,4,Büyükçekmece,0,Atatürk,680000,4.0,Kombi
1401,85,3,Bağcılar,2,Yenigün,465000,3.0,Kombi
1402,75,4,Kadıköy,4,Caferağa,800000,2.0,Kombi
1404,120,6,Beşiktaş,5,Abbasağa,1950000,3.0,Kombi
1406,100,4,Beylikdüzü,3,Cumhuriyet,259900,3.0,Kombi
1407,130,14,Kadıköy,3,Erenköy,2350000,4.0,Merkezi (Pay Ölçer)
1408,130,12,Kadıköy,7,Erenköy,1895000,4.0,Merkezi
1409,110,4,Maltepe,0,Altıntepe,700000,4.0,Kombi
1410,160,4,Beşiktaş,0,Ulus,3800000,4.0,Merkezi
1411,145,4,Kadıköy,0,Erenköy,1475000,4.0,Merkezi
1412,160,4,Maltepe,4,Küçükyalı,1100000,4.0,Kombi
1413,90,5,Beylikdüzü,0,Adnan Kahveci,545000,3.0,Kombi
1414,100,3,Fatih,1,Silivrikapı,499000,3.0,Kombi
1417,100,7,Kadıköy,5,Erenköy,1320000,3.0,Kombi
1418,130,4,Maltepe,3,Aydınevler,765000,4.0,Kombi
1419,85,4,Üsküdar,0,Valide-i Atik,310000,3.0,Kombi
1421,95,5,Gaziosmanpaşa,3,Karayolları,450000,3.0,Kombi
1423,190,10,Maltepe,6,Feyzullah,2950000,5.0,Kombi
1424,155,5,Beylikdüzü,3,Adnan Kahveci,625000,4.0,Kombi
1425,180,4,Zeytinburnu,3,Nuripaşa,875000,6.0,Kombi
1426,125,3,Eyüpsultan,2,Akşemsettin,535000,4.0,Kombi
1427,235,14,Kadıköy,3,Bostancı,5350000,5.0,Merkezi
1428,140,12,Kadıköy,6,Suadiye,2185000,4.0,Kombi
1429,120,6,Maltepe,1,Çınar,610000,4.0,Kombi
1431,180,5,Eyüpsultan,5,Akşemsettin,1395000,6.0,Kombi
1432,125,4,Maltepe,2,Altıntepe,675000,4.0,Kombi
1433,160,7,Kadıköy,7,Göztepe,1995000,4.0,Merkezi
1434,130,4,Maltepe,2,Aydınevler,695000,4.0,Kombi
1435,130,7,Beykoz,3,Kavacık,1175000,4.0,Kombi
1436,160,12,Kadıköy,0,Caddebostan,3200000,5.0,Merkezi (Pay Ölçer)
1437,130,6,Beyoğlu,4,Kocatepe,1750000,4.0,Kombi
1438,185,3,Beylikdüzü,3,Adnan Kahveci,950000,6.0,Kombi
1439,160,12,Beylikdüzü,6,Cumhuriyet,640000,4.0,Kombi
1440,140,33,Sarıyer,0,Ayazağa,1800000,3.0,Merkezi (Pay Ölçer)
1441,130,4,Zeytinburnu,2,Veliefendi,600000,4.0,Kombi
1442,160,4,Büyükçekmece,3,Atatürk,535000,4.0,Kombi
1443,90,4,Sancaktepe,1,Eyüp Sultan,435000,3.0,Kombi
1445,150,3,Maltepe,2,Feyzullah,817500,4.0,Kombi
1446,140,3,Fatih,3,Silivrikapı,1650000,5.0,Kombi
1447,96,4,Esenler,0,Menderes,400000,3.0,Kombi
1448,140,5,Üsküdar,2,Bulgurlu,760000,4.0,Kombi
1449,120,7,Maltepe,5,Bağlarbaşı,539000,4.0,Kombi
1450,115,4,Tuzla,3,Yayla,630000,4.0,Kombi
1451,102,4,Esenler,0,Menderes,575000,3.0,Kombi
1452,120,7,Maltepe,5,Bağlarbaşı,539000,4.0,Kombi
1453,115,4,Tuzla,3,Yayla,630000,4.0,Kombi
1454,102,4,Esenler,0,Menderes,575000,3.0,Kombi
1455,280,7,Şişli,0,Teşvikiye,4800000,5.0,Kombi
1456,150,5,Kağıthane,5,Nurtepe,925000,4.0,Kombi
1457,90,4,Maltepe,0,Çınar,420000,3.0,Kombi
1458,115,5,Beylikdüzü,3,Cumhuriyet,295000,3.0,Kombi
1459,90,5,Şişli,3,Mecidiyeköy,1300000,3.0,Merkezi (Pay Ölçer)
1460,135,12,Kadıköy,10,Feneryolu,1575000,4.0,Merkezi (Pay Ölçer)
1461,190,4,Eyüpsultan,3,Göktürk Merkez,4700000,4.0,Kombi
1462,100,15,Kağıthane,14,Merkez,595000,3.0,Merkezi (Pay Ölçer)
1463,110,7,Maltepe,2,Altıntepe,760000,3.0,Merkezi (Pay Ölçer)
1464,90,5,Kağıthane,3,Ortabayır,650000,3.0,Kombi
1465,135,10,Kartal,3,Uğur Mumcu,420000,4.0,Kombi
1467,110,7,Kadıköy,5,Göztepe,1545000,3.0,Kombi
1468,105,13,Kadıköy,11,Bostancı,1780000,4.0,Merkezi (Pay Ölçer)
1470,265,4,Maltepe,4,Feyzullah,2400000,6.0,Kombi
1471,90,5,Kağıthane,3,Ortabayır,650000,3.0,Kombi
1472,135,10,Kartal,3,Uğur Mumcu,420000,4.0,Kombi
1473,330,4,Eyüpsultan,4,Göktürk Merkez,5800000,6.0,Kombi
1475,110,7,Kadıköy,5,Göztepe,1545000,3.0,Kombi
1476,105,13,Kadıköy,11,Bostancı,1780000,4.0,Merkezi (Pay Ölçer)
1478,265,4,Maltepe,4,Feyzullah,2400000,6.0,Kombi
1479,135,4,Tuzla,2,Cami,1350000,4.0,Kombi
1480,75,15,Sarıyer,8,Maslak,2360000,2.0,Kombi
1481,132,20,Kağıthane,6,Seyrantepe,3700000,3.0,Kombi
1482,115,4,Zeytinburnu,-1,Merkezefendi,425000,4.0,Kombi
1483,135,6,Kadıköy,1,19 Mayıs,1250000,4.0,Merkezi
1484,126,9,Kadıköy,2,Kozyatağı,1565000,4.0,Kombi
1485,115,4,Zeytinburnu,1,Çırpıcı,600000,4.0,Kombi
1486,100,9,Esenyurt,4,Gökevler,430000,3.0,Kombi
1487,145,4,Maltepe,4,Küçükyalı,1750000,5.0,Kombi
1488,95,8,Silivri,7,Yeni,425000,3.0,Kombi
1489,210,12,Kadıköy,2,Caddebostan,5200000,5.0,Kombi
1490,165,4,Sarıyer,1,Tarabya,5750000,4.0,Kombi
1491,120,5,Kağıthane,0,Sultan Selim,745000,3.0,Kombi
1492,130,8,Kadıköy,4,Göztepe,1445000,4.0,Merkezi
1493,165,4,Eyüpsultan,2,Göktürk Merkez,3400000,4.0,Merkezi
1494,115,3,Maltepe,3,Çınar,539000,4.0,Kombi
1495,200,5,Üsküdar,4,Bulgurlu,1300000,6.0,Kombi
1496,200,5,Büyükçekmece,5,Atatürk,1820000,6.0,Kombi
1498,100,6,Sarıyer,0,Poligon,2750000,3.0,Kombi
1499,80,4,Maltepe,0,Girne,335000,4.0,Kombi
1500,300,4,Büyükçekmece,4,19 Mayıs,1200000,4.0,Kombi
1501,178,6,Ümraniye,6,Armağanevler,750000,4.0,Kombi
1502,160,5,Kağıthane,5,Harmantepe,780000,5.0,Kombi
1503,145,4,Maltepe,4,İdealtepe,1100000,4.0,Kombi
1504,170,5,Bahçelievler,5,Siyavuşpaşa,850000,6.0,Kombi
1505,135,5,Avcılar,1,Mustafa Kemal Paşa,283000,4.0,Kombi
1507,185,5,Bahçelievler,5,Şirinevler,950000,5.0,Kombi
1508,230,6,Beşiktaş,5,Dikilitaş,2200000,7.0,Kombi
1509,240,9,Bahçelievler,9,Bahçelievler,2500000,5.0,Merkezi
1510,135,18,Ataşehir,12,İçerenköy,1450000,4.0,Kombi
1511,165,5,Başakşehir,0,Bahçeşehir 1. Kısım,1050000,4.0,Kombi
1512,110,3,Maltepe,1,Altıntepe,445000,3.0,Kombi
1513,100,4,Maltepe,1,Küçükyalı,850000,3.0,Kombi
1514,105,9,Kağıthane,0,Hamidiye,685000,4.0,Merkezi
1515,95,10,Eyüpsultan,8,Karadolap,755000,3.0,Merkezi (Pay Ölçer)
1517,150,9,Kadıköy,9,Erenköy,1625000,4.0,Kombi
1518,185,12,Beylikdüzü,10,Adnan Kahveci,830000,4.0,Kombi
1519,250,4,Maltepe,4,Altıntepe,1350000,7.0,Kombi
1520,77,3,Üsküdar,0,Murat Reis,615000,3.0,Kombi
1521,155,6,Sarıyer,6,Zekeriyaköy,1500000,4.0,Merkezi
1522,124,9,Kadıköy,5,Erenköy,2050000,4.0,Merkezi (Pay Ölçer)
1523,140,10,Kadıköy,7,Merdivenköy,810000,4.0,Merkezi
1524,100,12,Kadıköy,5,Fenerbahçe,2200000,3.0,Kombi
1525,100,5,Beşiktaş,-1,Cihannüma,595000,3.0,Merkezi
1526,125,4,Bahçelievler,1,Bahçelievler,1725000,4.0,Kombi
1527,140,6,Beylikdüzü,3,Cumhuriyet,300000,4.0,Kombi
1528,120,4,Gaziosmanpaşa,4,Hürriyet,470000,3.0,Kombi
1529,75,3,Üsküdar,2,Bulgurlu,520000,3.0,Kombi
1530,125,2,Küçükçekmece,1,Yeşilova,740000,4.0,Kombi
1531,125,5,Üsküdar,3,Salacak,2450000,4.0,Kombi
1532,110,4,Beylikdüzü,1,Adnan Kahveci,549900,3.0,Kombi
1533,136,8,Başakşehir,7,Kayabaşı,675000,4.0,Merkezi (Pay Ölçer)
1534,170,5,Beşiktaş,3,Etiler,3800000,4.0,Merkezi
1537,100,5,Maltepe,0,Altıntepe,885000,3.0,Kombi
1538,190,4,Maltepe,4,İdealtepe,1120000,5.0,Kombi
1539,75,4,Fatih,0,Karagümrük,375000,3.0,Kombi
1540,125,4,Maltepe,3,Küçükyalı,965000,4.0,Kombi
1541,135,4,Kadıköy,4,Kozyatağı,945000,4.0,Kombi
1542,250,5,Şişli,0,Merkez,1590000,5.0,Kombi
1543,75,7,Esenler,-2,Fatih,262000,3.0,Kombi
1544,165,4,Zeytinburnu,3,Nuripaşa,470000,5.0,Kombi
1545,160,7,Kadıköy,7,Göztepe,1995000,4.0,Merkezi
1547,165,4,Zeytinburnu,3,Nuripaşa,470000,5.0,Kombi
1548,160,7,Kadıköy,7,Göztepe,1995000,4.0,Merkezi
1550,130,4,Maltepe,3,Çınar,660000,4.0,Kombi
1551,118,5,Küçükçekmece,2,Cennet,950000,4.0,Kombi
1552,100,5,Tuzla,3,Evliya Çelebi,610000,3.0,Kombi
1553,160,3,Bakırköy,0,Şenlikköy,4750000,4.0,Merkezi (Pay Ölçer)
1554,140,4,Ataşehir,3,İçerenköy,650000,5.0,Kombi
1555,140,5,Maltepe,3,Feyzullah,1350000,4.0,Kombi
1556,120,8,Maltepe,6,Zümrütevler,275000,4.0,Kombi
1557,110,8,Maltepe,2,Altıntepe,770000,3.0,Merkezi
1559,96,4,Esenler,0,Menderes,400000,3.0,Kombi
1560,77,33,Sarıyer,12,Maslak,1250000,2.0,Merkezi (Pay Ölçer)
1561,100,5,Zeytinburnu,1,Gökalp,800000,3.0,Kombi
1562,147,17,Bakırköy,11,Sakızağacı,4945000,3.0,Kombi
1563,85,4,Bahçelievler,1,Yenibosna Merkez,520000,3.0,Kombi
1564,90,4,Zeytinburnu,1,Çırpıcı,375000,3.0,Kombi
1565,250,4,Bakırköy,4,Yeşilköy,2950000,7.0,Kombi
1566,180,4,Kağıthane,4,Merkez,899000,5.0,Kombi
1567,130,5,Üsküdar,2,Aziz Mahmut Hüdayi,1550000,4.0,Kombi
1568,135,12,Kadıköy,10,Feneryolu,1575000,4.0,Merkezi (Pay Ölçer)
1569,191,5,Sarıyer,3,Tarabya,5800000,4.0,Merkezi (Pay Ölçer)
1570,380,4,Bakırköy,4,Yeşilköy,8150000,7.0,Kombi
1571,90,3,Fatih,0,Koca Mustafapaşa,430000,3.0,Kombi
1572,220,8,Maltepe,8,Yalı,2450000,5.0,Kombi
1573,105,4,Pendik,1,Çamçeşme,575000,4.0,Kombi
1574,125,15,Beylikdüzü,12,Cumhuriyet,399000,3.0,Kombi
1575,85,3,Silivri,2,Cumhuriyet,379000,3.0,Kombi
1576,145,14,Maltepe,9,Feyzullah,980000,4.0,Kombi
1577,450,4,Beşiktaş,3,Akat,16000000,7.0,Merkezi (Pay Ölçer)
1578,120,14,Beşiktaş,5,Konaklar,680000,3.0,Merkezi (Pay Ölçer)
1579,115,7,Üsküdar,3,Bahçelievler,975000,4.0,Kombi
1581,125,5,Eyüpsultan,0,Esentepe,320000,4.0,Kombi
1585,180,4,Kağıthane,4,Merkez,899000,5.0,Kombi
1586,130,5,Üsküdar,2,Aziz Mahmut Hüdayi,1550000,4.0,Kombi
1587,135,12,Kadıköy,10,Feneryolu,1575000,4.0,Merkezi (Pay Ölçer)
1588,191,5,Sarıyer,3,Tarabya,5800000,4.0,Merkezi (Pay Ölçer)
1589,380,4,Bakırköy,4,Yeşilköy,8150000,7.0,Kombi
1590,90,3,Fatih,0,Koca Mustafapaşa,430000,3.0,Kombi
1591,220,8,Maltepe,8,Yalı,2450000,5.0,Kombi
1592,105,4,Pendik,1,Çamçeşme,575000,4.0,Kombi
1593,125,15,Beylikdüzü,12,Cumhuriyet,399000,3.0,Kombi
1594,85,3,Silivri,2,Cumhuriyet,379000,3.0,Kombi
1595,145,14,Maltepe,9,Feyzullah,980000,4.0,Kombi
1596,450,4,Beşiktaş,3,Akat,16000000,7.0,Merkezi (Pay Ölçer)
1597,120,14,Beşiktaş,5,Konaklar,680000,3.0,Merkezi (Pay Ölçer)
1598,115,7,Üsküdar,3,Bahçelievler,975000,4.0,Kombi
1600,125,5,Eyüpsultan,0,Esentepe,320000,4.0,Kombi
1601,145,5,Güngören,3,Mehmet Nesih Özmen,1215000,4.0,Kombi
1602,240,5,Bakırköy,2,Şenlikköy,5850000,5.0,Merkezi (Pay Ölçer)
1603,120,4,Maltepe,1,Feyzullah,510000,4.0,Kombi
1604,195,3,Maltepe,3,Küçükyalı,1175000,6.0,Kombi
1605,115,4,Maltepe,2,Çınar,450000,3.0,Kombi
1606,150,13,Beylikdüzü,1,Adnan Kahveci,820000,4.0,Kombi
1607,85,4,Bahçelievler,4,Zafer,300000,3.0,Kombi
1608,150,4,Büyükçekmece,2,Fatih,575000,4.0,Kombi
1609,128,5,Beylikdüzü,0,Adnan Kahveci,775000,3.0,Merkezi (Pay Ölçer)
1610,180,5,Beşiktaş,0,Levazım,2495000,5.0,Merkezi
1611,110,8,Kadıköy,6,Merdivenköy,1395000,3.0,Kombi
1612,80,4,Maltepe,0,Küçükyalı,620000,3.0,Merkezi (Pay Ölçer)
1613,123,5,Sancaktepe,5,Abdurrahmangazi,1215000,3.0,Merkezi
1614,110,4,Maltepe,0,Küçükyalı,385000,4.0,Kombi
1615,190,4,Maltepe,4,Aydınevler,680000,6.0,Kombi
1616,290,13,Kadıköy,13,Caddebostan,8870000,6.0,Kombi
1619,160,2,Bakırköy,0,Şenlikköy,4750000,4.0,Kombi
1621,95,10,Eyüpsultan,2,Çırçır,575000,3.0,Kombi
1622,125,5,Bahçelievler,1,Siyavuşpaşa,925000,4.0,Kombi
1623,140,4,Bahçelievler,4,Yenibosna Merkez,620000,5.0,Kombi
1624,100,35,Başakşehir,8,Bahçeşehir 2. Kısım,225000,3.0,Kombi
1625,150,4,Küçükçekmece,4,Cennet,935000,5.0,Kombi
1626,90,5,Beşiktaş,5,Dikilitaş,760000,3.0,Kombi
1627,140,4,Eyüpsultan,4,Mimar Sinan,985000,5.0,Kombi
1628,260,9,Sarıyer,9,Ayazağa,1750000,7.0,Kombi
1629,165,10,Kadıköy,6,Bostancı,6500000,5.0,Merkezi (Pay Ölçer)
1630,100,5,Fatih,2,Mevlanakapı,370000,3.0,Kombi
1631,290,4,Bakırköy,4,Yeşilköy,4750000,5.0,Kombi
1632,140,9,Kadıköy,1,Erenköy,1620000,4.0,Merkezi (Pay Ölçer)
1633,130,3,Küçükçekmece,2,Cumhuriyet,899000,4.0,Kombi
1634,225,9,Beylikdüzü,4,Adnan Kahveci,1300000,5.0,Kombi
1635,445,3,Kadıköy,0,Fenerbahçe,32100000,6.0,Kombi
1636,135,12,Kadıköy,7,Caddebostan,3000000,4.0,Kombi
1637,270,4,Bakırköy,0,Şenlikköy,4000000,5.0,Kombi
1638,130,8,Maltepe,5,Altıntepe,675000,4.0,Kombi
1639,250,4,Eyüpsultan,3,Göktürk Merkez,4500000,5.0,Kombi
1640,90,4,Güngören,3,Mareşal Çakmak,495000,3.0,Kombi
1641,120,4,Maltepe,1,Altıntepe,950000,4.0,Kombi
1642,160,14,Kadıköy,1,Bostancı,2300000,4.0,Merkezi (Pay Ölçer)
1643,195,11,Kadıköy,10,Caddebostan,5100000,4.0,Kombi
1644,105,11,Beylikdüzü,5,Adnan Kahveci,405000,3.0,Kombi
1645,110,6,Büyükçekmece,3,Pınartepe,1130000,3.0,Kombi
1646,130,5,Beşiktaş,5,Etiler,2000000,4.0,Kombi
1647,130,6,Üsküdar,3,Selami Ali,700000,4.0,Kombi
1648,160,11,Kadıköy,2,Feneryolu,1850000,4.0,Kombi
1649,125,11,Ataşehir,1,Küçükbakkalköy,740000,4.0,Kombi
1650,120,3,Kağıthane,2,Harmantepe,620000,4.0,Kombi
1652,107,9,Ümraniye,2,İstiklal,1100000,4.0,Merkezi (Pay Ölçer)
1653,125,11,Kartal,1,Uğur Mumcu,410000,4.0,Kombi
1654,126,9,Kadıköy,2,Kozyatağı,1565000,4.0,Kombi
1655,250,4,Bakırköy,1,Şenlikköy,8750000,5.0,Kombi
1656,115,5,Beylikdüzü,2,Adnan Kahveci,529000,3.0,Kombi
1657,165,4,Maltepe,4,Altıntepe,2750000,3.0,Merkezi (Pay Ölçer)
1658,250,8,Ataşehir,8,İçerenköy,1585000,7.0,Kombi
1659,125,7,Kadıköy,4,Kozyatağı,1345000,4.0,Merkezi
1660,85,3,Kağıthane,0,Gültepe,400000,3.0,Kombi
1661,70,3,Bağcılar,0,Yenigün,195000,2.0,Kombi
1662,115,25,Beylikdüzü,8,Cumhuriyet,189000,3.0,Kombi
1663,135,7,Kadıköy,6,Göztepe,1565000,4.0,Merkezi
1664,105,4,Beşiktaş,3,Konaklar,785000,3.0,Kombi
1666,90,4,Maltepe,2,Feyzullah,685000,3.0,Kombi
1667,90,4,Zeytinburnu,4,Yenidoğan,315000,3.0,Kombi
1668,434,7,Başakşehir,7,Bahçeşehir 2. Kısım,4850000,6.0,Kombi
1670,120,5,Beylikdüzü,2,Cumhuriyet,250000,3.0,Kombi
1671,150,4,Bahçelievler,4,Yenibosna Merkez,580000,5.0,Kombi
1672,85,4,Esenler,0,Fatih,385000,3.0,Kombi
1675,105,5,Bahçelievler,0,Siyavuşpaşa,430000,4.0,Kombi
1676,230,16,Kadıköy,3,Erenköy,3595000,5.0,Merkezi (Pay Ölçer)
1677,125,4,Esenler,4,Fatih,350000,4.0,Kombi
1678,180,3,Bahçelievler,1,Bahçelievler,1675000,4.0,Kombi
1679,70,4,Kağıthane,0,Emniyet Evleri,510000,2.0,Kombi
1680,135,9,Kadıköy,2,Erenköy,1375000,4.0,Merkezi
1681,220,4,Maltepe,4,Küçükyalı,2100000,6.0,Kombi
1683,140,4,Maltepe,4,Küçükyalı,1100000,4.0,Kombi
1684,120,5,Bahçelievler,1,Siyavuşpaşa,850000,4.0,Kombi
1685,125,8,Kadıköy,1,Feneryolu,1395000,4.0,Kombi
1686,150,4,Bahçelievler,4,Yenibosna Merkez,735000,5.0,Kombi
1687,110,4,Maltepe,3,İdealtepe,975000,4.0,Kombi
1688,110,5,Beşiktaş,0,Levazım,1650000,4.0,Merkezi
1689,128,4,Bahçelievler,1,Bahçelievler,2300000,4.0,Kombi
1691,80,5,Şişli,0,Merkez,425000,3.0,Kombi
1692,155,15,Kadıköy,12,Bostancı,4300000,4.0,Merkezi (Pay Ölçer)
1693,140,8,Kadıköy,2,Sahrayı Cedit,1095000,4.0,Merkezi (Pay Ölçer)
1694,115,9,Bakırköy,1,Ataköy 7-8-9-10. Kısım,1600000,4.0,Merkezi
1695,500,5,Beşiktaş,4,Ortaköy,23500000,11.0,Kombi
1696,100,8,Kağıthane,6,Çeliktepe,555000,3.0,Kombi
1697,240,4,Maltepe,4,Altıntepe,1550000,6.0,Kombi
1698,140,4,Eyüpsultan,4,Göktürk Merkez,3100000,3.0,Kombi
1699,80,6,Kağıthane,5,Merkez,560000,3.0,Kombi
1700,110,5,Maltepe,3,Altıntepe,775000,3.0,Kombi
1701,145,8,Kadıköy,2,Caddebostan,3500000,4.0,Kombi
1702,90,13,Kadıköy,2,Bostancı,1395000,3.0,Kombi
1703,185,5,Beylikdüzü,5,Kavaklı,515000,5.0,Kombi
1704,160,4,Kağıthane,3,Yahya Kemal,650000,5.0,Kombi
1705,135,5,Üsküdar,3,Ferah,1200000,4.0,Kombi
1706,145,3,Bakırköy,0,Şenlikköy,3800000,4.0,Kombi
1707,65,5,Kağıthane,-1,Gültepe,240000,2.0,Kombi
1708,325,9,Kadıköy,9,Fenerbahçe,6900000,8.0,Kombi
1709,95,5,Kağıthane,0,Yahya Kemal,330000,3.0,Kombi
1710,220,4,Maltepe,4,Küçükyalı,2600000,6.0,Kombi
1711,100,3,Çekmeköy,3,Taşdelen,315000,3.0,Kombi
1712,115,5,Maltepe,0,Altıntepe,520000,4.0,Kombi
1713,400,4,Bakırköy,3,Şenlikköy,5350000,7.0,Kombi
1714,100,4,Bakırköy,2,Osmaniye,650000,3.0,Kombi
1715,125,5,Maltepe,5,İdealtepe,550000,4.0,Kombi
1716,70,5,Kağıthane,3,Harmantepe,444000,3.0,Kombi
1718,120,6,Kağıthane,4,Telsizler,570000,4.0,Kombi
1719,110,3,Büyükçekmece,0,19 Mayıs,470000,3.0,Kombi
1720,90,6,Kartal,5,Hürriyet,450000,3.0,Kombi
1721,135,5,Avcılar,0,Cihangir,312000,4.0,Kombi
1722,125,10,Kadıköy,7,Suadiye,2095000,4.0,Kombi
1723,90,4,Maltepe,2,Altıntepe,380000,3.0,Kombi
1724,90,5,Eyüpsultan,2,Karadolap,535000,3.0,Kombi
1725,125,8,Kadıköy,5,Erenköy,2050000,4.0,Merkezi
1726,200,3,Büyükçekmece,3,Atatürk,690000,5.0,Kombi
1728,120,5,Beylikdüzü,1,Marmara,399000,3.0,Kombi
1729,280,4,Maltepe,4,Feyzullah,1690000,7.0,Kombi
1730,150,9,Kadıköy,2,Feneryolu,1680000,4.0,Kombi
1731,115,4,Esenyurt,3,Güzelyurt,398000,3.0,Kombi
1732,100,12,Kadıköy,5,Fenerbahçe,2250000,3.0,Kombi
1733,125,14,Beylikdüzü,10,Beylikdüzü OSB,229000,4.0,Kombi
1734,130,4,Maltepe,1,Altayçeşme,625000,4.0,Kombi
1736,200,19,Maltepe,19,Cevizli,2900000,4.0,Kombi
1737,260,13,Kadıköy,13,Suadiye,4250000,5.0,Merkezi (Pay Ölçer)
1738,100,4,Maltepe,0,Aydınevler,410000,3.0,Kombi
1739,120,3,Küçükçekmece,2,Yeşilova,670000,3.0,Kombi
1740,165,7,Kadıköy,7,Caddebostan,2600000,4.0,Kombi
1741,107,21,Maltepe,16,Cevizli,1150000,3.0,Kombi
1742,220,4,Maltepe,4,Altıntepe,995000,5.0,Kombi
1743,100,4,Maltepe,0,Altıntepe,590000,3.0,Kombi
1744,89,5,Sultangazi,0,Sultançiftliği,285000,3.0,Kombi
1745,230,5,Maltepe,5,Feyzullah,2150000,6.0,Kombi
1746,160,9,Kadıköy,5,Erenköy,1475000,4.0,Merkezi
1748,180,4,Sarıyer,0,Maden,1950000,4.0,Kombi
1749,170,6,Kağıthane,5,Çağlayan,700000,5.0,Kombi
1750,185,13,Kadıköy,1,Erenköy,1585000,5.0,Merkezi
1752,140,10,Beylikdüzü,3,Adnan Kahveci,650000,4.0,Kombi
1753,145,4,Kadıköy,0,Erenköy,1475000,4.0,Merkezi
1754,120,4,Maltepe,0,Çınar,425000,4.0,Kombi
1755,150,6,Maltepe,2,Feyzullah,1090000,4.0,Kombi
1756,135,8,Kadıköy,2,Caddebostan,3500000,4.0,Kombi
1757,260,4,Büyükçekmece,4,Dizdariye,650000,7.0,Kombi
1758,250,30,Ataşehir,21,Barbaros,3900000,5.0,Kombi
1759,320,5,Beylikdüzü,5,Dereağzı,1650000,6.0,Kombi
1760,240,9,Kadıköy,9,Göztepe,4850000,6.0,Merkezi (Pay Ölçer)
1761,100,4,Maltepe,1,Küçükyalı,445000,3.0,Kombi
1762,72,5,Üsküdar,-1,Aziz Mahmut Hüdayi,500000,2.0,Kombi
1763,375,10,Beylikdüzü,9,Adnan Kahveci,1750000,5.0,Kombi
1764,65,4,Maltepe,2,Altıntepe,525000,2.0,Kombi
1765,168,13,Beylikdüzü,0,Marmara,1300000,4.0,Merkezi (Pay Ölçer)
1767,125,5,Beylikdüzü,0,Kavaklı,265000,4.0,Kombi
1768,115,6,Esenyurt,3,Bağlarçeşme,250000,3.0,Kombi
1769,140,6,Beylikdüzü,5,Adnan Kahveci,650000,4.0,Kombi
1770,200,3,Maltepe,3,İdealtepe,1530000,5.0,Kombi
1771,265,4,Maltepe,4,İdealtepe,1900000,6.0,Kombi
1772,145,12,Esenyurt,0,Gökevler,540000,3.0,Kombi
1773,90,5,Gaziosmanpaşa,4,Mevlana,360000,3.0,Kombi
1774,140,4,Sarıyer,4,Yeniköy,4200000,4.0,Merkezi
1775,290,4,Maltepe,4,Küçükyalı,1425000,7.0,Kombi
1776,210,7,Kartal,3,Orhantepe,1200000,5.0,Kombi
1777,215,2,Sarıyer,0,Zekeriyaköy,6800000,5.0,Kombi
1778,80,14,Kağıthane,3,Merkez,435000,2.0,Merkezi (Pay Ölçer)
1779,90,3,Kağıthane,0,Gültepe,400000,3.0,Kombi
1781,130,3,Kağıthane,2,Telsizler,580000,4.0,Kombi
1782,140,4,Zeytinburnu,3,Nuripaşa,850000,4.0,Kombi
1783,75,3,Bahçelievler,0,Bahçelievler,795000,2.0,Kombi
1785,135,4,Kadıköy,4,Kozyatağı,945000,4.0,Kombi
1786,115,4,Maltepe,3,Küçükyalı,900000,4.0,Kombi
1787,350,9,Kadıköy,9,Suadiye,12500000,6.0,Kombi
1788,165,4,Bahçelievler,4,Bahçelievler,2300000,5.0,Kombi
1789,80,4,Şişli,3,Esentepe,860000,3.0,Kombi
1790,60,5,Bayrampaşa,2,Altıntepsi,235000,2.0,Kombi
1791,90,4,Başakşehir,-1,Altınşehir,290000,3.0,Kombi
1792,290,7,Kadıköy,7,Suadiye,5950000,6.0,Merkezi (Pay Ölçer)
